Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Balance_After,Channel,Merchant_Category,Transaction_Status
TXN000000020,ACCT00000043,CUST000111,2024-11-20 23:19:57,Credit,122481.21,,ATM,Education,Completed
TXN000000021,ACCT00000328,CUST000219,2023-07-01 00:45:23,Debit,10667.16,,Branch,Education,Completed
TXN000000022,ACCT00000393,CUST000285,2025-03-15 14:48:57,Debit,3231.73,,POS,Dining,Completed
TXN000000023,ACCT00000636,CUST000405,2025-09-30 00:28:49,Credit,72434.47,,POS,Groceries,Completed
TXN000000024,ACCT00000390,CUST000492,2022-03-02 01:46:50,Credit,88150.5,,ATM,Education,Completed
TXN000000025,ACCT00000259,CUST000088,2024-04-24 15:54:30,Debit,10568.56,,ATM,Entertainment,Completed
TXN000000026,ACCT00000647,CUST000292,2022-05-27 00:47:01,Credit,93141.37,,POS,E-commerce,Completed
TXN000000027,ACCT00000248,CUST000461,2024-07-26 16:09:52,Credit,122578.82,,ATM,E-commerce,Completed
TXN000000028,ACCT00000318,CUST000290,2024-05-08 11:22:54,Credit,25895.69,,Online,Dining,Completed
TXN000000029,ACCT00000421,CUST000499,2022-05-28 12:07:58,Debit,1012.18,,Online,Dining,Completed
TXN000000030,ACCT00000692,CUST000289,2025-04-27 23:38:07,Debit,9378.53,,Mobile App,Education,Completed
TXN000000031,ACCT00000071,CUST000443,2024-02-19 22:37:25,Debit,1634.64,,POS,Travel,Completed
TXN000000032,ACCT00000579,CUST000145,2023-08-27 00:19:43,Debit,2577.9,,Branch,Dining,Completed
TXN000000033,ACCT00000121,CUST000228,2024-12-20 15:24:00,Credit,138780.2,,Online,Education,Completed
TXN000000034,ACCT00000301,CUST000219,2025-08-18 22:50:21,Debit,1734.81,,ATM,Travel,Completed
TXN000000035,ACCT00000616,CUST000121,2023-05-30 20:04:09,Credit,49441.53,,ATM,Salary,Completed
TXN000000036,ACCT00000079,CUST000066,2022-11-06 07:50:47,Credit,22076.41,,POS,Entertainment,Completed
TXN000000037,ACCT00000006,CUST000388,2023-08-25 15:43:39,Debit,10710.08,,POS,Groceries,Completed
TXN000000038,ACCT00000310,CUST000294,2022-10-11 18:43:19,Debit,7549.09,,Branch,Dining,Completed
TXN000000039,ACCT00000506,CUST000321,2022-12-22 07:45:59,Credit,114270.62,,ATM,Utilities,Completed
TXN000000040,ACCT00000169,CUST000312,2022-08-05 05:57:00,Debit,875.84,,Mobile App,Dining,Completed
TXN000000041,ACCT00000025,CUST000081,2023-11-12 13:27:03,Credit,19417.1,,Branch,Healthcare,Completed
TXN000000042,ACCT00000022,CUST000471,2025-01-05 11:23:40,Credit,9184.05,,Mobile App,Utilities,Completed
TXN000000043,ACCT00000429,CUST000186,2024-01-06 19:15:01,Debit,9421.36,,Branch,Healthcare,Completed
TXN000000044,ACCT00000571,CUST000333,2024-12-26 14:14:15,Credit,97556.36,,ATM,Utilities,Completed
TXN000000045,ACCT00000090,CUST000235,2023-02-13 04:59:00,Credit,105357.14,,POS,Healthcare,Completed
TXN000000046,ACCT00000520,CUST000095,2023-01-13 20:20:40,Debit,3905.96,,ATM,Groceries,Pending
TXN000000047,ACCT00000166,CUST000479,2022-05-15 04:23:15,Debit,1269.82,,Online,Education,Completed
TXN000000048,ACCT00000676,CUST000001,2024-04-28 01:19:53,Credit,63773.0,,Mobile App,Travel,Completed
TXN000000049,ACCT00000490,CUST000313,2022-04-14 19:11:18,Debit,2442.96,,Mobile App,Healthcare,Completed
TXN000000050,ACCT00000119,CUST000015,2024-05-19 09:52:57,Debit,3017.95,,Online,Entertainment,Completed
TXN000000051,ACCT00000151,CUST000205,2023-04-12 13:36:09,Debit,7091.58,,POS,Groceries,Completed
TXN000000052,ACCT00000381,CUST000152,2022-04-04 04:44:16,Debit,5352.5,,ATM,Fuel,Completed
TXN000000053,ACCT00000682,CUST000478,2023-02-18 01:00:18,Debit,2412.44,,Branch,Salary,Completed
TXN000000054,ACCT00000328,CUST000219,2023-01-14 12:54:18,Credit,66014.67,,Online,Entertainment,Completed
TXN000000055,ACCT00000680,CUST000144,2024-01-08 12:19:08,Credit,79215.02,,POS,Entertainment,Completed
TXN000000056,ACCT00000102,CUST000497,2022-09-25 20:12:28,Credit,21638.98,,Mobile App,Fuel,Completed
TXN000000057,ACCT00000073,CUST000120,2022-08-15 23:27:53,Debit,5464.97,,Mobile App,Salary,Failed
TXN000000058,ACCT00000070,CUST000074,2024-01-13 01:30:51,Debit,4702.37,,Mobile App,Salary,Completed
TXN000000059,ACCT00000253,CUST000325,2024-08-31 22:03:08,Credit,83956.57,,Branch,Entertainment,Completed
TXN000000060,ACCT00000269,CUST000268,2023-09-24 07:22:19,Debit,9320.7,,POS,Groceries,Completed
TXN000000061,ACCT00000329,CUST000394,2025-04-27 16:04:13,Credit,79891.9,,ATM,Entertainment,Completed
TXN000000062,ACCT00000688,CUST000239,2025-02-02 13:42:21,Credit,96731.92,,POS,Education,Completed
TXN000000063,ACCT00000621,CUST000010,2025-07-23 06:13:28,Debit,1009.96,,Online,Education,Completed
TXN000000064,ACCT00000630,CUST000435,2025-05-12 22:46:04,Credit,48483.96,,Online,Entertainment,Completed
TXN000000065,ACCT00000614,CUST000082,2024-03-20 17:55:30,Credit,25245.47,,POS,Utilities,Completed
TXN000000066,ACCT00000444,CUST000411,2024-07-20 18:58:37,Debit,964.53,,POS,Utilities,Completed
TXN000000067,ACCT00000576,CUST000019,2022-05-12 19:09:49,Debit,1025.25,,ATM,E-commerce,Completed
TXN000000068,ACCT00000285,CUST000388,2023-09-03 22:04:09,Credit,124909.68,,POS,E-commerce,Completed
TXN000000069,ACCT00000311,CUST000168,2025-07-23 04:26:10,Credit,41586.12,,Branch,Education,Completed
TXN000000070,ACCT00000524,CUST000009,2024-01-28 18:02:11,Credit,160805.97,,Mobile App,Fuel,Completed
TXN000000071,ACCT00000699,CUST000045,2024-07-29 03:40:15,Debit,5668.88,,POS,E-commerce,Completed
TXN000000072,ACCT00000094,CUST000320,2024-12-10 02:09:28,Credit,91551.96,,Branch,Fuel,Completed
TXN000000073,ACCT00000530,CUST000231,2024-08-15 11:48:52,Debit,2719.06,,Branch,Travel,Completed
TXN000000074,ACCT00000278,CUST000154,2025-09-20 21:06:01,Credit,69119.92,,Mobile App,Fuel,Completed
TXN000000075,ACCT00000234,CUST000242,2023-05-02 07:24:38,Credit,52700.33,,Online,Dining,Completed
TXN000000076,ACCT00000196,CUST000371,2023-06-26 09:30:51,Credit,20207.88,,Online,E-commerce,Completed
TXN000000077,ACCT00000531,CUST000326,2024-11-16 06:50:21,Credit,42853.02,,Branch,Travel,Completed
TXN000000078,ACCT00000613,CUST000250,2023-10-21 10:12:10,Debit,10695.58,,Mobile App,Salary,Completed
TXN000000079,ACCT00000303,CUST000141,2022-10-23 02:26:51,Credit,97759.32,,Mobile App,Fuel,Completed
TXN000000080,ACCT00000329,CUST000394,2022-11-14 14:59:18,Credit,140135.86,,Mobile App,Fuel,Completed
TXN000000081,ACCT00000178,CUST000260,2022-07-02 01:56:02,Credit,51732.76,,Online,Entertainment,Completed
TXN000000082,ACCT00000613,CUST000250,2025-05-12 03:17:06,Credit,34409.73,,Online,Education,Completed
TXN000000083,ACCT00000384,CUST000009,2023-01-17 13:53:32,Credit,76363.34,,POS,Travel,Completed
TXN000000084,ACCT00000582,CUST000034,2023-12-15 03:42:50,Credit,44201.07,,Online,Travel,Completed
TXN000000085,ACCT00000621,CUST000010,2022-04-22 22:13:40,Credit,84351.44,,ATM,Healthcare,Completed
TXN000000086,ACCT00000564,CUST000454,2023-09-03 15:07:14,Debit,5279.48,,ATM,Entertainment,Completed
TXN000000087,ACCT00000261,CUST000269,2024-02-09 01:00:38,Credit,4749.43,,Mobile App,Dining,Completed
TXN000000088,ACCT00000284,CUST000288,2024-03-04 23:52:31,Credit,89962.26,,Online,Travel,Completed
TXN000000089,ACCT00000053,CUST000411,2023-10-27 10:05:01,Credit,141902.9,,Mobile App,Utilities,Completed
TXN000000090,ACCT00000488,CUST000219,2023-11-11 02:57:43,Credit,91760.76,,Branch,Utilities,Completed
TXN000000091,ACCT00000144,CUST000338,2022-10-09 08:04:25,Debit,5291.63,,Branch,Groceries,Completed
TXN000000092,ACCT00000043,CUST000111,2025-08-09 00:57:45,Debit,2880.03,,Branch,Utilities,Completed
TXN000000093,ACCT00000562,CUST000419,2024-04-11 10:32:46,Credit,81774.43,,Online,Utilities,Completed
TXN000000094,ACCT00000434,CUST000182,2022-11-15 06:57:18,Debit,4568.57,,Mobile App,Groceries,Completed
TXN000000095,ACCT00000011,CUST000025,2022-06-23 02:29:15,Credit,45578.8,,Mobile App,Travel,Completed
TXN000000096,ACCT00000292,CUST000081,2023-10-30 16:12:14,Debit,8680.47,,Online,Entertainment,Completed
TXN000000097,ACCT00000634,CUST000306,2024-07-26 18:07:27,Credit,31307.49,,Mobile App,E-commerce,Reversed
TXN000000098,ACCT00000243,CUST000205,2022-08-24 15:53:38,Debit,917.96,,Mobile App,Dining,Pending
TXN000000099,ACCT00000325,CUST000295,2025-03-30 06:30:49,Debit,8565.49,,Online,Healthcare,Completed
TXN000000100,ACCT00000209,CUST000286,2024-04-21 12:27:36,Debit,3208.58,,Online,Utilities,Completed
TXN000000101,ACCT00000585,CUST000495,2025-02-24 06:12:16,Credit,82681.96,,POS,Utilities,Completed
TXN000000102,ACCT00000098,CUST000295,2023-01-18 10:44:18,Credit,62635.34,,Online,Entertainment,Completed
TXN000000103,ACCT00000471,CUST000197,2024-08-04 23:48:14,Debit,6040.54,,Online,Entertainment,Completed
TXN000000104,ACCT00000287,CUST000034,2022-06-16 19:40:27,Debit,7283.51,,Online,Travel,Completed
TXN000000105,ACCT00000446,CUST000491,2024-06-19 10:27:17,Credit,43560.42,,POS,Entertainment,Completed
TXN000000106,ACCT00000238,CUST000237,2022-06-05 21:56:18,Debit,4156.16,,POS,Education,Pending
TXN000000107,ACCT00000454,CUST000489,2022-08-22 14:46:44,Credit,1551.79,,Mobile App,Healthcare,Completed
TXN000000108,ACCT00000024,CUST000412,2024-04-20 19:48:27,Credit,95319.65,,Online,Education,Completed
TXN000000109,ACCT00000448,CUST000244,2025-05-11 13:57:54,Credit,90543.14,,Branch,Groceries,Pending
TXN000000110,ACCT00000512,CUST000066,2024-02-28 11:11:00,Credit,174719.98,,POS,Dining,Completed
TXN000000111,ACCT00000211,CUST000273,2023-08-03 08:59:45,Debit,2909.15,,ATM,Dining,Completed
TXN000000112,ACCT00000700,CUST000184,2023-08-10 16:20:40,Debit,2005.55,,POS,Entertainment,Completed
TXN000000113,ACCT00000224,CUST000388,2023-05-04 02:39:51,Credit,85695.69,,POS,Travel,Completed
TXN000000114,ACCT00000255,CUST000440,2025-01-15 14:39:48,Credit,87867.91,,Online,Healthcare,Completed
TXN000000115,ACCT00000615,CUST000488,2025-09-25 12:10:02,Credit,68001.61,,ATM,Dining,Completed
TXN000000116,ACCT00000250,CUST000141,2024-09-29 17:08:10,Debit,1278.73,,POS,Groceries,Completed
TXN000000117,ACCT00000399,CUST000228,2024-06-07 00:53:58,Credit,76127.25,,Branch,Healthcare,Completed
TXN000000118,ACCT00000021,CUST000219,2024-02-02 16:13:16,Credit,74635.24,,POS,Healthcare,Completed
TXN000000119,ACCT00000092,CUST000116,2023-11-11 10:03:00,Credit,73998.92,,Branch,Entertainment,Completed
TXN000000120,ACCT00000276,CUST000245,2023-07-24 11:38:34,Credit,107710.65,,POS,Salary,Completed
TXN000000121,ACCT00000173,CUST000335,2022-12-07 10:00:39,Debit,2551.76,,ATM,Healthcare,Completed
TXN000000122,ACCT00000374,CUST000232,2022-03-16 12:46:08,Debit,4059.18,,ATM,Salary,Completed
TXN000000123,ACCT00000095,CUST000338,2024-08-14 01:38:14,Debit,547.56,,Branch,Utilities,Completed
TXN000000124,ACCT00000538,CUST000187,2023-02-01 08:30:26,Credit,67521.15,,Online,Travel,Completed
TXN000000125,ACCT00000146,CUST000018,2025-08-26 15:12:33,Credit,77266.0,,Branch,Salary,Failed
TXN000000126,ACCT00000235,CUST000458,2023-09-29 01:56:18,Credit,96187.71,,Online,Fuel,Completed
TXN000000127,ACCT00000069,CUST000190,2022-12-27 02:42:47,Debit,2822.37,,Mobile App,Groceries,Completed
TXN000000128,ACCT00000587,CUST000047,2024-10-13 22:04:25,Debit,7377.33,,Branch,Fuel,Completed
TXN000000129,ACCT00000482,CUST000174,2023-10-20 12:25:33,Debit,3548.47,,Online,Groceries,Completed
TXN000000130,ACCT00000201,CUST000111,2024-07-25 03:50:11,Debit,5499.64,,ATM,Utilities,Completed
TXN000000131,ACCT00000276,CUST000245,2025-06-23 14:46:14,Debit,1432.79,,Mobile App,Utilities,Completed
TXN000000132,ACCT00000474,CUST000350,2024-05-09 17:41:18,Credit,134629.05,,Online,Salary,Reversed
TXN000000133,ACCT00000547,CUST000382,2022-10-18 04:39:32,Debit,3243.34,,ATM,E-commerce,Failed
TXN000000134,ACCT00000176,CUST000043,2025-04-05 11:35:06,Credit,61516.56,,Mobile App,Groceries,Completed
TXN000000135,ACCT00000513,CUST000058,2024-02-23 17:29:11,Debit,567.01,,POS,Salary,Completed
TXN000000136,ACCT00000172,CUST000109,2022-03-17 02:24:44,Credit,62901.21,,Online,Salary,Completed
TXN000000137,ACCT00000248,CUST000461,2025-08-31 14:04:04,Credit,81422.96,,Mobile App,Travel,Completed
TXN000000138,ACCT00000474,CUST000350,2023-01-17 19:40:30,Credit,75121.84,,Online,Utilities,Completed
TXN000000139,ACCT00000255,CUST000440,2022-09-09 19:02:15,Debit,7247.77,,ATM,Healthcare,Completed
TXN000000140,ACCT00000140,CUST000276,2022-01-01 21:22:39,Credit,15604.08,,POS,Fuel,Completed
TXN000000141,ACCT00000502,CUST000127,2024-11-18 11:58:41,Credit,20324.85,,Mobile App,Fuel,Completed
TXN000000142,ACCT00000414,CUST000430,2025-10-12 16:35:36,Credit,66009.38,,Mobile App,E-commerce,Completed
TXN000000143,ACCT00000621,CUST000010,2024-06-16 01:42:43,Credit,96658.51,,Branch,Fuel,Completed
TXN000000144,ACCT00000418,CUST000413,2022-09-17 06:18:58,Credit,105366.21,,Online,Groceries,Completed
TXN000000145,ACCT00000212,CUST000339,2022-04-25 01:11:12,Credit,51939.58,,Branch,Utilities,Completed
TXN000000146,ACCT00000619,CUST000067,2023-10-03 15:52:16,Credit,28641.69,,POS,Travel,Completed
TXN000000147,ACCT00000383,CUST000482,2022-02-07 02:09:22,Credit,53150.22,,POS,Entertainment,Completed
TXN000000148,ACCT00000017,CUST000133,2022-12-01 21:02:53,Credit,90672.16,,Online,Education,Completed
TXN000000149,ACCT00000605,CUST000181,2025-05-13 00:52:55,Debit,2423.45,,Branch,Healthcare,Completed
TXN000000150,ACCT00000251,CUST000148,2022-08-10 01:54:00,Debit,5396.46,,Online,Education,Completed
TXN000000151,ACCT00000259,CUST000088,2024-01-27 04:19:06,Credit,122862.86,,POS,Education,Completed
TXN000000152,ACCT00000381,CUST000152,2025-10-02 17:38:20,Debit,1707.35,,POS,Salary,Completed
TXN000000153,ACCT00000426,CUST000469,2022-03-21 18:19:37,Debit,283.59,,Online,Utilities,Completed
TXN000000154,ACCT00000303,CUST000141,2023-08-05 01:03:34,Debit,1924.01,,Branch,Education,Completed
TXN000000155,ACCT00000396,CUST000215,2025-10-09 23:29:29,Credit,20123.95,,ATM,Dining,Completed
TXN000000156,ACCT00000302,CUST000103,2023-07-06 02:56:51,Credit,10457.54,,ATM,Education,Completed
TXN000000157,ACCT00000070,CUST000074,2023-07-02 13:29:51,Credit,48237.09,,Online,Travel,Completed
TXN000000158,ACCT00000519,CUST000195,2022-09-15 18:53:34,Debit,7699.52,,ATM,Salary,Completed
TXN000000159,ACCT00000576,CUST000019,2023-02-23 19:44:15,Debit,5889.63,,ATM,Fuel,Completed
TXN000000160,ACCT00000224,CUST000388,2024-09-06 17:14:59,Credit,55483.54,,ATM,Education,Pending
TXN000000161,ACCT00000414,CUST000430,2023-06-03 21:56:54,Credit,161292.33,,Branch,Dining,Completed
TXN000000162,ACCT00000335,CUST000120,2023-03-19 14:51:17,Credit,50771.4,,ATM,Fuel,Completed
TXN000000163,ACCT00000600,CUST000382,2022-07-11 12:52:29,Credit,127069.65,,POS,Healthcare,Completed
TXN000000164,ACCT00000527,CUST000291,2022-02-26 03:59:25,Debit,10307.56,,Online,Healthcare,Completed
TXN000000165,ACCT00000339,CUST000064,2024-10-23 05:33:33,Credit,93398.89,,Branch,Salary,Completed
TXN000000166,ACCT00000146,CUST000018,2025-03-29 21:28:26,Debit,888.58,,ATM,Dining,Completed
TXN000000167,ACCT00000394,CUST000492,2023-03-05 09:04:17,Credit,60387.14,,Online,Groceries,Completed
TXN000000168,ACCT00000046,CUST000113,2023-04-16 13:18:51,Debit,3423.4,,Online,Entertainment,Completed
TXN000000169,ACCT00000429,CUST000186,2024-06-03 08:51:05,Debit,4235.63,,POS,Salary,Completed
TXN000000170,ACCT00000438,CUST000356,2024-04-29 19:43:29,Credit,36135.44,,Online,Groceries,Completed
TXN000000171,ACCT00000068,CUST000115,2022-09-11 19:40:27,Debit,2734.55,,Branch,Education,Completed
TXN000000172,ACCT00000068,CUST000115,2022-12-07 08:25:59,Credit,96466.11,,Online,Education,Completed
TXN000000173,ACCT00000117,CUST000422,2022-05-05 05:28:48,Credit,122428.17,,Branch,Dining,Completed
TXN000000174,ACCT00000382,CUST000284,2025-08-14 08:26:11,Credit,103758.13,,Branch,Dining,Completed
TXN000000175,ACCT00000572,CUST000173,2024-05-01 04:08:16,Credit,114841.91,,Branch,Fuel,Completed
TXN000000176,ACCT00000160,CUST000158,2024-11-03 07:35:37,Credit,44728.2,,Mobile App,Entertainment,Completed
TXN000000177,ACCT00000232,CUST000012,2025-06-19 22:51:42,Debit,886.6,,POS,Education,Completed
TXN000000178,ACCT00000279,CUST000464,2023-05-25 18:27:13,Credit,64966.68,,POS,Healthcare,Completed
TXN000000179,ACCT00000053,CUST000411,2024-07-08 03:54:29,Credit,93235.51,,Branch,Utilities,Completed
TXN000000180,ACCT00000152,CUST000173,2024-05-12 04:25:29,Debit,13325.01,,Online,Entertainment,Failed
TXN000000181,ACCT00000476,CUST000420,2022-08-27 01:52:54,Debit,717.59,,Mobile App,Fuel,Failed
TXN000000182,ACCT00000372,CUST000204,2023-10-04 00:31:17,Credit,112113.61,,POS,Dining,Completed
TXN000000183,ACCT00000340,CUST000265,2023-04-10 14:40:46,Debit,10142.34,,Online,Salary,Completed
TXN000000184,ACCT00000639,CUST000466,2024-01-18 11:27:16,Debit,5039.18,,Branch,Groceries,Completed
TXN000000185,ACCT00000447,CUST000276,2023-09-23 13:58:11,Credit,60401.89,,Online,Healthcare,Pending
TXN000000186,ACCT00000485,CUST000340,2022-02-17 12:41:00,Credit,41431.61,,Branch,Utilities,Completed
TXN000000187,ACCT00000316,CUST000062,2023-01-02 02:52:25,Credit,33207.63,,POS,Healthcare,Completed
TXN000000188,ACCT00000603,CUST000256,2022-11-29 11:33:48,Credit,3654.26,,POS,Entertainment,Completed
TXN000000189,ACCT00000294,CUST000305,2023-01-13 20:29:26,Debit,1393.73,,Branch,Salary,Completed
TXN000000190,ACCT00000613,CUST000250,2023-05-24 04:46:16,Credit,63927.47,,ATM,Utilities,Completed
TXN000000191,ACCT00000085,CUST000351,2022-05-08 20:44:55,Debit,6802.37,,Online,Fuel,Completed
TXN000000192,ACCT00000439,CUST000416,2024-02-05 07:15:58,Debit,415.39,,Online,Groceries,Completed
TXN000000193,ACCT00000003,CUST000173,2024-01-02 23:54:46,Debit,1664.39,,ATM,Salary,Completed
TXN000000194,ACCT00000299,CUST000393,2025-08-03 10:56:02,Credit,86303.2,,Branch,Dining,Completed
TXN000000195,ACCT00000090,CUST000235,2022-03-04 19:20:00,Debit,4954.87,,Branch,E-commerce,Completed
TXN000000196,ACCT00000103,CUST000341,2022-03-02 11:52:19,Debit,6174.39,,ATM,Dining,Completed
TXN000000197,ACCT00000001,CUST000471,2025-06-30 01:07:18,Debit,3405.11,,Online,Healthcare,Failed
TXN000000198,ACCT00000503,CUST000443,2022-06-17 01:19:29,Credit,23126.72,,Mobile App,Travel,Pending
TXN000000199,ACCT00000631,CUST000002,2025-07-24 00:01:22,Debit,4498.44,,Mobile App,Travel,Completed
TXN000000200,ACCT00000142,CUST000425,2022-04-11 21:13:57,Credit,48945.72,,Mobile App,Travel,Completed
TXN000000201,ACCT00000162,CUST000398,2024-09-26 14:04:39,Debit,8691.42,,POS,Dining,Completed
TXN000000202,ACCT00000230,CUST000293,2024-12-06 08:58:33,Credit,75850.86,,ATM,Healthcare,Completed
TXN000000203,ACCT00000347,CUST000374,2024-10-30 01:19:00,Debit,3703.77,,POS,Education,Completed
TXN000000204,ACCT00000368,CUST000453,2024-03-01 12:16:04,Credit,179067.32,,Branch,Healthcare,Completed
TXN000000205,ACCT00000429,CUST000186,2025-06-07 13:52:04,Debit,6266.71,,Branch,E-commerce,Completed
TXN000000206,ACCT00000216,CUST000290,2023-01-09 21:14:54,Credit,90246.34,,Online,Salary,Completed
TXN000000207,ACCT00000038,CUST000152,2022-05-04 10:13:38,Debit,1807.72,,Mobile App,Utilities,Completed
TXN000000208,ACCT00000152,CUST000173,2022-06-17 06:23:45,Credit,26028.07,,Online,Salary,Completed
TXN000000209,ACCT00000076,CUST000108,2023-03-15 19:26:27,Credit,66639.07,,Branch,Dining,Completed
TXN000000210,ACCT00000245,CUST000423,2025-01-21 08:51:32,Credit,40979.18,,POS,Healthcare,Completed
TXN000000211,ACCT00000126,CUST000089,2024-09-27 21:39:21,Credit,141796.18,,Online,Education,Completed
TXN000000212,ACCT00000672,CUST000171,2022-02-22 13:30:08,Credit,90786.86,,Online,Healthcare,Completed
TXN000000213,ACCT00000197,CUST000475,2023-06-21 01:43:31,Debit,8483.16,,ATM,Groceries,Completed
TXN000000214,ACCT00000259,CUST000088,2023-08-29 03:48:53,Debit,548.91,,POS,Education,Completed
TXN000000215,ACCT00000675,CUST000342,2023-09-10 11:29:15,Credit,43604.07,,POS,Salary,Pending
TXN000000216,ACCT00000335,CUST000120,2025-03-03 18:05:56,Credit,100931.22,,Branch,Dining,Completed
TXN000000217,ACCT00000189,CUST000151,2022-01-12 13:20:05,Debit,1937.46,,Branch,Healthcare,Completed
TXN000000218,ACCT00000096,CUST000375,2024-01-27 08:43:53,Credit,57501.67,,Online,Groceries,Completed
TXN000000219,ACCT00000144,CUST000338,2023-01-08 20:43:12,Credit,144078.55,,Branch,Entertainment,Completed
TXN000000220,ACCT00000185,CUST000315,2023-10-12 03:19:48,Debit,501.82,,ATM,E-commerce,Completed
TXN000000221,ACCT00000352,CUST000380,2025-05-28 01:56:23,Credit,18265.37,,Branch,Groceries,Completed
TXN000000222,ACCT00000108,CUST000251,2024-01-21 00:01:39,Debit,6304.04,,Online,Salary,Completed
TXN000000223,ACCT00000341,CUST000380,2024-11-22 21:29:57,Credit,13973.75,,Mobile App,Healthcare,Completed
TXN000000224,ACCT00000542,CUST000158,2024-07-06 06:58:50,Debit,8812.92,,POS,Groceries,Completed
TXN000000225,ACCT00000466,CUST000130,2025-01-22 02:15:35,Credit,52925.67,,Mobile App,Education,Completed
TXN000000226,ACCT00000046,CUST000113,2023-03-18 22:23:40,Credit,177327.97,,ATM,Healthcare,Completed
TXN000000227,ACCT00000604,CUST000098,2024-09-01 01:50:50,Debit,10210.55,,POS,Healthcare,Completed
TXN000000228,ACCT00000475,CUST000457,2025-10-05 19:37:18,Debit,12530.46,,Branch,Dining,Completed
TXN000000229,ACCT00000229,CUST000071,2023-11-29 22:02:58,Credit,115962.5,,Branch,Groceries,Completed
TXN000000230,ACCT00000235,CUST000458,2024-11-04 08:57:34,Credit,98701.08,,POS,Travel,Completed
TXN000000231,ACCT00000005,CUST000467,2024-04-04 11:31:35,Debit,1590.99,,ATM,Entertainment,Completed
TXN000000232,ACCT00000461,CUST000100,2023-01-07 05:49:08,Credit,74865.02,,ATM,Healthcare,Completed
TXN000000233,ACCT00000049,CUST000310,2022-04-29 05:25:35,Credit,102855.5,,Mobile App,Fuel,Completed
TXN000000234,ACCT00000427,CUST000328,2022-01-26 09:19:34,Credit,113212.21,,Mobile App,Groceries,Completed
TXN000000235,ACCT00000509,CUST000086,2024-06-20 06:32:17,Debit,3208.45,,Mobile App,Fuel,Completed
TXN000000236,ACCT00000295,CUST000479,2025-04-26 04:23:00,Debit,1531.7,,Online,Healthcare,Completed
TXN000000237,ACCT00000575,CUST000155,2025-02-01 08:50:54,Credit,71692.77,,Online,Fuel,Completed
TXN000000238,ACCT00000672,CUST000171,2022-11-08 02:07:30,Debit,1891.26,,POS,Utilities,Completed
TXN000000239,ACCT00000337,CUST000445,2024-10-01 20:03:15,Debit,2620.93,,POS,Groceries,Completed
TXN000000240,ACCT00000102,CUST000497,2022-07-21 18:10:59,Credit,149163.7,,Online,Travel,Completed
TXN000000241,ACCT00000688,CUST000239,2023-02-04 09:06:09,Credit,65940.64,,Online,Healthcare,Completed
TXN000000242,ACCT00000209,CUST000286,2025-02-06 17:07:19,Debit,2297.2,,Branch,Utilities,Completed
TXN000000243,ACCT00000296,CUST000373,2023-04-26 18:42:49,Debit,11922.93,,ATM,Salary,Completed
TXN000000244,ACCT00000125,CUST000099,2025-08-18 03:16:26,Debit,10216.22,,Online,Utilities,Completed
