History_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Channel,Merchant_Category,Transaction_Status
HIST000000053,ACCT00000457,CUST000120,2016-07-06 23:15:17,Credit,24498.033166588222,Branch,Utilities,Completed
HIST000000054,ACCT00000554,CUST000158,2016-01-23 20:44:37,Credit,6769.178123950453,Online,Groceries,Completed
HIST000000055,ACCT00000316,CUST000062,2021-09-30 11:30:31,Debit,3636.1178900115174,Mobile App,Travel,Completed
HIST000000056,ACCT00000679,CUST000331,2017-10-03 11:39:51,Debit,24189.47889004081,Branch,Healthcare,Completed
HIST000000057,ACCT00000150,CUST000316,2015-11-26 11:19:41,Credit,13077.604306795622,POS,Travel,Completed
HIST000000058,ACCT00000679,CUST000331,2016-08-23 19:22:12,Credit,8661.024856481035,Mobile App,Entertainment,Completed
HIST000000059,ACCT00000588,CUST000026,2017-06-09 05:37:20,Debit,198.56406438642807,POS,Healthcare,Completed
HIST000000060,ACCT00000460,CUST000033,2017-03-07 15:17:27,Debit,1997.9886070714765,POS,Fuel,Completed
HIST000000061,ACCT00000696,CUST000377,2019-10-06 01:33:11,Credit,21867.771170095562,Mobile App,Fuel,Completed
HIST000000062,ACCT00000369,CUST000339,2019-07-14 15:47:14,Credit,7408.862489100674,POS,Travel,Completed
HIST000000063,ACCT00000636,CUST000405,2015-08-23 04:27:57,Debit,20231.208303052266,ATM,Healthcare,Completed
HIST000000064,ACCT00000662,CUST000004,2021-11-24 19:59:51,Credit,3082.4757747669146,POS,Salary,Completed
HIST000000065,ACCT00000440,CUST000494,2017-06-19 01:22:00,Debit,5298.592381259521,Mobile App,Education,Completed
HIST000000066,ACCT00000640,CUST000081,2017-01-03 16:37:31,Credit,1555.168110129578,Mobile App,Dining,Completed
HIST000000067,ACCT00000325,CUST000295,2016-11-04 00:49:49,Credit,11754.927923421023,POS,Groceries,Completed
HIST000000068,ACCT00000075,CUST000290,2016-05-12 10:29:29,Credit,3710.661418469007,Mobile App,Entertainment,Completed
HIST000000069,ACCT00000113,CUST000100,2018-09-01 13:37:38,Credit,4077.615115956056,Branch,Dining,Completed
HIST000000070,ACCT00000535,CUST000236,2016-04-02 09:30:14,Credit,20761.677935902837,Online,Education,Completed
HIST000000071,ACCT00000560,CUST000228,2015-02-15 07:54:22,Credit,3357.533077440261,POS,Groceries,Completed
HIST000000072,ACCT00000300,CUST000339,2015-05-03 00:44:42,Credit,27370.394310648197,Mobile App,Entertainment,Completed
HIST000000073,ACCT00000399,CUST000228,2017-12-06 12:17:55,Debit,3055.6910964530334,Mobile App,Education,Completed
HIST000000074,ACCT00000383,CUST000482,2018-05-08 20:13:32,Debit,6070.378359350856,POS,Dining,Completed
HIST000000075,ACCT00000143,CUST000112,2021-06-09 10:57:00,Debit,1625.556855166797,Online,Salary,Completed
HIST000000076,ACCT00000481,CUST000200,2016-10-09 07:09:53,Credit,6481.029602011533,POS,Utilities,Completed
HIST000000077,ACCT00000145,CUST000166,2018-02-05 13:09:29,Credit,10335.103940877547,POS,Salary,Completed
HIST000000078,ACCT00000075,CUST000290,2016-04-24 09:22:58,Debit,10206.022881066518,ATM,Groceries,Completed
HIST000000079,ACCT00000566,CUST000077,2021-08-21 16:57:56,Credit,4037.4079674469594,POS,Fuel,Completed
HIST000000080,ACCT00000590,CUST000148,2017-12-20 01:50:19,Debit,8474.976129370849,Branch,Entertainment,Completed
HIST000000081,ACCT00000146,CUST000018,2021-01-01 08:16:55,Credit,35038.061490868524,Online,E-commerce,Completed
HIST000000082,ACCT00000398,CUST000206,2018-03-28 15:52:36,Debit,807.812075206637,ATM,Dining,Completed
HIST000000083,ACCT00000553,CUST000462,2021-09-03 07:06:00,Debit,13390.549264063839,Branch,Education,Completed
HIST000000084,ACCT00000551,CUST000050,2016-10-23 07:47:52,Credit,14291.695726278362,Mobile App,Groceries,Completed
HIST000000085,ACCT00000211,CUST000273,2015-04-06 18:33:53,Debit,1644.6473611438787,Branch,Utilities,Completed
HIST000000086,ACCT00000252,CUST000366,2021-12-28 06:55:11,Credit,3473.607392210685,Branch,Entertainment,Completed
HIST000000087,ACCT00000129,CUST000291,2020-01-02 19:20:05,Credit,10673.78083913399,POS,Fuel,Completed
HIST000000088,ACCT00000274,CUST000298,2020-03-30 11:59:29,Credit,27669.449691903268,POS,Groceries,Completed
HIST000000089,ACCT00000511,CUST000422,2021-10-25 10:52:58,Debit,6993.687356939968,POS,Groceries,Completed
HIST000000090,ACCT00000026,CUST000377,2019-03-30 11:14:03,Credit,8796.897464414715,POS,Utilities,Completed
HIST000000091,ACCT00000285,CUST000388,2021-09-11 16:21:19,Debit,8892.148534339085,Online,Education,Completed
HIST000000092,ACCT00000033,CUST000286,2015-06-08 02:00:57,Credit,7435.950362057954,Mobile App,Utilities,Completed
HIST000000093,ACCT00000677,CUST000477,2019-02-25 18:53:40,Credit,5265.792351106977,Branch,Entertainment,Completed
HIST000000094,ACCT00000397,CUST000180,2019-10-06 07:09:21,Credit,1716.468675280782,ATM,Healthcare,Completed
HIST000000095,ACCT00000245,CUST000423,2019-04-15 01:07:35,Credit,7627.953635238344,POS,Salary,Completed
HIST000000096,ACCT00000082,CUST000205,2018-01-16 14:33:40,Credit,706.4133608242582,POS,Travel,Completed
HIST000000097,ACCT00000007,CUST000393,2021-04-15 03:48:41,Credit,9320.509222519784,Branch,E-commerce,Completed
HIST000000098,ACCT00000514,CUST000391,2018-09-20 02:31:53,Credit,16998.04542038473,ATM,Fuel,Completed
HIST000000099,ACCT00000153,CUST000450,2017-06-21 11:00:38,Credit,17215.484629152314,Branch,Utilities,Completed
HIST000000100,ACCT00000281,CUST000209,2016-06-13 05:27:55,Credit,10552.58431388714,Mobile App,E-commerce,Completed
HIST000000101,ACCT00000240,CUST000401,2020-05-04 09:43:29,Debit,2855.8293487041974,Branch,Utilities,Completed
HIST000000102,ACCT00000619,CUST000067,2019-04-13 02:50:20,Credit,14034.692977925419,Online,Healthcare,Completed
HIST000000103,ACCT00000213,CUST000177,2021-01-11 04:06:39,Credit,2379.3292301925176,Mobile App,Salary,Completed
HIST000000104,ACCT00000085,CUST000351,2020-05-20 15:22:17,Debit,4901.990796946455,Online,Entertainment,Completed
HIST000000105,ACCT00000225,CUST000448,2019-11-26 07:42:13,Debit,7714.857064009058,ATM,E-commerce,Completed
HIST000000106,ACCT00000577,CUST000263,2021-09-06 09:40:11,Debit,18415.205872725826,ATM,Education,Completed
HIST000000107,ACCT00000126,CUST000089,2016-10-19 11:39:52,Debit,9031.783181037626,ATM,Travel,Completed
HIST000000108,ACCT00000280,CUST000413,2019-05-09 00:56:50,Credit,3198.226015790733,Branch,Healthcare,Completed
HIST000000109,ACCT00000465,CUST000050,2021-10-06 04:36:58,Credit,15789.93513960793,ATM,E-commerce,Completed
HIST000000110,ACCT00000683,CUST000477,2017-04-06 04:19:33,Debit,281.5879558137194,POS,Healthcare,Completed
HIST000000111,ACCT00000400,CUST000061,2015-01-22 22:54:12,Credit,5410.456214456905,Branch,Healthcare,Completed
HIST000000112,ACCT00000562,CUST000419,2020-01-05 06:13:06,Debit,5255.495701060789,Mobile App,Utilities,Completed
HIST000000113,ACCT00000102,CUST000497,2018-06-02 13:33:10,Credit,483.9020059027771,Branch,Education,Completed
HIST000000114,ACCT00000669,CUST000304,2018-05-29 20:14:28,Credit,11898.7212196894,POS,Healthcare,Completed
HIST000000115,ACCT00000382,CUST000284,2021-12-11 12:48:19,Credit,5924.943336577923,POS,Healthcare,Completed
HIST000000116,ACCT00000411,CUST000303,2017-02-21 00:42:06,Credit,17668.330986597797,POS,Groceries,Completed
HIST000000117,ACCT00000576,CUST000019,2018-01-01 01:49:31,Debit,8165.726437245563,ATM,Fuel,Completed
HIST000000118,ACCT00000688,CUST000239,2021-04-09 23:55:41,Credit,2472.061198628595,Online,Dining,Completed
HIST000000119,ACCT00000447,CUST000276,2017-08-23 18:44:19,Credit,11030.554957450182,Branch,Salary,Completed
HIST000000120,ACCT00000073,CUST000120,2019-03-06 12:28:01,Credit,19545.088631872834,ATM,Travel,Completed
HIST000000121,ACCT00000587,CUST000047,2020-04-20 05:32:17,Credit,12918.277746507178,Mobile App,Salary,Completed
HIST000000122,ACCT00000608,CUST000163,2019-10-01 14:44:08,Credit,2974.583151008608,Online,Education,Completed
HIST000000123,ACCT00000370,CUST000464,2017-07-18 05:29:14,Credit,8397.5698678343,Online,Salary,Completed
HIST000000124,ACCT00000006,CUST000388,2018-09-01 10:59:18,Debit,3775.3233124538247,Mobile App,E-commerce,Completed
HIST000000125,ACCT00000042,CUST000211,2018-07-10 17:33:59,Debit,24721.504802525043,Mobile App,Fuel,Completed
HIST000000126,ACCT00000479,CUST000052,2021-08-31 16:09:36,Debit,11013.080111705262,Mobile App,Healthcare,Completed
HIST000000127,ACCT00000283,CUST000445,2015-04-18 19:29:53,Debit,23232.03621308773,POS,Education,Completed
HIST000000128,ACCT00000144,CUST000338,2017-08-06 12:04:03,Credit,6399.9410140340415,POS,Entertainment,Completed
HIST000000129,ACCT00000599,CUST000387,2015-04-27 06:27:43,Debit,7373.27263953116,Online,Utilities,Completed
HIST000000130,ACCT00000264,CUST000101,2017-02-06 22:27:31,Debit,1157.5269563713973,Online,Utilities,Completed
HIST000000131,ACCT00000558,CUST000288,2020-12-03 07:43:05,Debit,26238.956811867116,Mobile App,Entertainment,Completed
HIST000000132,ACCT00000248,CUST000461,2021-12-25 03:05:17,Debit,15919.550490326703,ATM,Utilities,Completed
HIST000000133,ACCT00000115,CUST000140,2021-10-24 12:45:12,Credit,12680.319420611952,ATM,Healthcare,Completed
HIST000000134,ACCT00000363,CUST000426,2017-02-20 16:03:18,Credit,9276.951002412512,Branch,Fuel,Completed
HIST000000135,ACCT00000511,CUST000422,2017-09-20 12:42:59,Credit,2933.645346291669,Online,Travel,Completed
HIST000000136,ACCT00000365,CUST000049,2016-04-21 20:16:34,Credit,2593.1458321307773,ATM,E-commerce,Completed
HIST000000137,ACCT00000077,CUST000492,2017-05-08 23:51:05,Debit,4064.9271718578098,POS,Dining,Completed
HIST000000138,ACCT00000469,CUST000311,2017-02-24 21:26:14,Credit,11594.891792773327,POS,Fuel,Completed
HIST000000139,ACCT00000217,CUST000381,2017-09-13 01:39:39,Debit,23107.02673120284,POS,Dining,Completed
HIST000000140,ACCT00000560,CUST000228,2016-09-12 12:07:04,Credit,18420.05764151754,ATM,Entertainment,Completed
HIST000000141,ACCT00000337,CUST000445,2017-12-20 14:35:46,Credit,12032.612269552486,POS,Dining,Completed
HIST000000142,ACCT00000443,CUST000462,2017-02-07 18:40:29,Debit,7687.939626812585,Mobile App,Dining,Completed
HIST000000143,ACCT00000364,CUST000067,2021-01-16 17:29:34,Credit,13841.160142014764,Branch,Utilities,Completed
HIST000000144,ACCT00000476,CUST000420,2020-07-22 19:32:31,Debit,12426.323961735625,Branch,Healthcare,Completed
HIST000000145,ACCT00000048,CUST000400,2020-11-21 12:35:14,Debit,2550.8051606490335,Mobile App,Dining,Completed
HIST000000146,ACCT00000598,CUST000033,2015-12-11 08:52:32,Credit,39969.31058922034,Online,Travel,Completed
HIST000000147,ACCT00000435,CUST000490,2020-02-16 16:50:31,Credit,10325.014747973426,POS,Healthcare,Completed
HIST000000148,ACCT00000173,CUST000335,2020-01-14 00:05:45,Debit,7998.261359992599,POS,Fuel,Completed
HIST000000149,ACCT00000291,CUST000313,2016-03-02 20:24:16,Credit,7803.140975138916,Mobile App,E-commerce,Completed
HIST000000150,ACCT00000120,CUST000436,2019-02-16 14:35:33,Credit,30401.63665956624,Online,Healthcare,Completed
HIST000000151,ACCT00000493,CUST000161,2019-10-21 02:50:14,Debit,5034.33820845005,ATM,Groceries,Completed
HIST000000152,ACCT00000135,CUST000147,2020-07-27 22:46:09,Credit,1810.0596122360926,ATM,Dining,Completed
HIST000000153,ACCT00000060,CUST000008,2020-10-12 16:15:50,Credit,17927.524076188314,Online,Groceries,Completed
HIST000000154,ACCT00000193,CUST000253,2019-08-05 19:17:37,Credit,4785.654141347198,Online,Utilities,Completed
HIST000000155,ACCT00000132,CUST000006,2016-01-21 21:01:31,Credit,984.7537456364521,ATM,Dining,Completed
HIST000000156,ACCT00000043,CUST000111,2020-05-23 11:52:23,Credit,11787.594822640642,Branch,Healthcare,Completed
HIST000000157,ACCT00000176,CUST000043,2017-08-04 19:30:27,Credit,8270.215882755117,POS,Salary,Completed
HIST000000158,ACCT00000155,CUST000084,2015-04-21 18:21:15,Debit,17365.265427641498,POS,E-commerce,Completed
HIST000000159,ACCT00000436,CUST000116,2018-06-21 17:14:39,Debit,20497.62666878436,Online,Dining,Completed
HIST000000160,ACCT00000218,CUST000194,2020-10-07 19:47:51,Credit,8684.036720064341,ATM,Fuel,Completed
HIST000000161,ACCT00000160,CUST000158,2017-06-13 15:01:22,Debit,8500.792704539708,Online,Healthcare,Completed
HIST000000162,ACCT00000132,CUST000006,2017-09-30 15:03:33,Debit,7569.331787433603,Mobile App,Utilities,Completed
HIST000000163,ACCT00000284,CUST000288,2015-02-15 00:42:49,Debit,10869.566679791453,ATM,Education,Completed
HIST000000164,ACCT00000322,CUST000473,2017-08-31 14:30:15,Credit,5662.047654457567,ATM,Travel,Completed
HIST000000165,ACCT00000164,CUST000109,2015-07-10 09:59:12,Debit,4992.698212132526,Branch,Fuel,Completed
HIST000000166,ACCT00000305,CUST000338,2016-08-12 03:34:22,Credit,19359.525449926907,ATM,Education,Completed
HIST000000167,ACCT00000287,CUST000034,2018-02-20 16:02:44,Debit,23193.394164260517,Mobile App,Entertainment,Completed
HIST000000168,ACCT00000253,CUST000325,2016-07-25 23:13:11,Debit,13090.635335601051,Mobile App,Dining,Completed
HIST000000169,ACCT00000623,CUST000144,2021-09-24 05:26:11,Credit,5120.253820886829,ATM,Salary,Completed
HIST000000170,ACCT00000272,CUST000381,2017-04-18 07:57:55,Debit,3264.333201342817,Branch,Entertainment,Completed
HIST000000171,ACCT00000089,CUST000003,2015-03-16 17:11:13,Debit,1268.3424021671321,POS,Education,Completed
HIST000000172,ACCT00000099,CUST000466,2020-09-10 08:43:59,Debit,9830.194516823856,Online,E-commerce,Completed
HIST000000173,ACCT00000248,CUST000461,2016-02-06 11:14:26,Credit,13033.260458509621,POS,Entertainment,Completed
HIST000000174,ACCT00000502,CUST000127,2018-09-17 02:49:56,Credit,3654.482676663861,Branch,Travel,Completed
HIST000000175,ACCT00000452,CUST000230,2018-05-21 00:52:19,Debit,17960.084016673634,POS,Salary,Completed
HIST000000176,ACCT00000455,CUST000307,2018-01-14 01:27:06,Credit,6580.546966914155,Online,E-commerce,Completed
HIST000000177,ACCT00000329,CUST000394,2017-08-21 02:07:48,Debit,15757.996042401992,Branch,Education,Completed
HIST000000178,ACCT00000100,CUST000119,2016-07-12 09:13:41,Credit,27885.117064419173,POS,Healthcare,Completed
HIST000000179,ACCT00000109,CUST000179,2017-11-21 01:20:24,Debit,19249.125820184,Mobile App,Entertainment,Completed
HIST000000180,ACCT00000591,CUST000004,2021-05-03 13:23:16,Debit,11254.759887734497,Mobile App,Travel,Completed
HIST000000181,ACCT00000184,CUST000363,2018-12-08 11:16:29,Debit,20794.112978360266,Online,Utilities,Completed
HIST000000182,ACCT00000355,CUST000014,2015-07-02 21:36:00,Debit,2617.1697574284744,Online,Travel,Completed
HIST000000183,ACCT00000228,CUST000211,2020-05-31 19:25:05,Debit,19736.86508827486,Mobile App,Groceries,Completed
HIST000000184,ACCT00000448,CUST000244,2016-05-04 15:19:17,Credit,10164.351698077975,Mobile App,Fuel,Completed
HIST000000185,ACCT00000628,CUST000271,2020-06-23 22:39:37,Credit,20295.837488460093,Mobile App,Salary,Completed
HIST000000186,ACCT00000295,CUST000479,2021-11-28 21:39:55,Credit,16096.661666161051,POS,Entertainment,Completed
HIST000000187,ACCT00000221,CUST000112,2020-12-29 21:51:46,Debit,2952.2978018564254,Online,Dining,Completed
HIST000000188,ACCT00000619,CUST000067,2015-05-15 20:13:32,Debit,6041.13290555176,POS,Utilities,Completed
HIST000000189,ACCT00000615,CUST000488,2015-12-07 15:31:06,Debit,1394.0352253590872,POS,E-commerce,Completed
HIST000000190,ACCT00000614,CUST000082,2017-01-23 04:10:30,Credit,4831.197570272465,Branch,Education,Completed
HIST000000191,ACCT00000684,CUST000372,2015-09-29 23:01:03,Credit,16464.66285415821,Online,Utilities,Completed
HIST000000192,ACCT00000092,CUST000116,2018-08-02 07:31:57,Debit,9370.387735181945,Online,Groceries,Completed
HIST000000193,ACCT00000401,CUST000322,2020-07-23 04:21:44,Credit,5725.7971669793515,Mobile App,Utilities,Completed
HIST000000194,ACCT00000047,CUST000210,2015-01-12 23:28:13,Credit,8248.307601668626,Branch,Entertainment,Completed
HIST000000195,ACCT00000404,CUST000430,2017-02-19 09:45:14,Debit,12882.97027958856,POS,Travel,Completed
HIST000000196,ACCT00000298,CUST000496,2017-02-18 18:25:50,Debit,6756.9715021112415,Online,Dining,Completed
HIST000000197,ACCT00000429,CUST000186,2020-01-02 14:18:52,Debit,18938.036581783712,Branch,Salary,Completed
HIST000000198,ACCT00000161,CUST000047,2020-11-13 19:28:53,Debit,2781.4789250568124,ATM,Education,Completed
HIST000000199,ACCT00000645,CUST000223,2016-04-11 19:09:37,Debit,13068.973606769996,POS,Healthcare,Completed
HIST000000200,ACCT00000513,CUST000058,2017-01-12 11:22:46,Credit,15079.33447690433,Online,Education,Completed
HIST000000201,ACCT00000521,CUST000447,2015-05-26 21:23:28,Credit,25228.42104841966,Mobile App,E-commerce,Completed
HIST000000202,ACCT00000685,CUST000139,2019-02-07 18:37:56,Debit,2754.9078897591344,ATM,Dining,Completed
HIST000000203,ACCT00000224,CUST000388,2016-08-08 04:46:04,Credit,742.6512006126195,Online,Groceries,Completed
HIST000000204,ACCT00000015,CUST000178,2015-05-16 10:53:52,Debit,11187.927561000732,ATM,Healthcare,Completed
HIST000000205,ACCT00000217,CUST000381,2020-05-24 04:37:40,Debit,24462.484973420615,Branch,Fuel,Completed
HIST000000206,ACCT00000435,CUST000490,2020-06-28 03:40:17,Credit,1238.0097487027133,POS,E-commerce,Completed
HIST000000207,ACCT00000291,CUST000313,2018-06-04 11:37:22,Credit,10989.39737197846,Mobile App,Healthcare,Completed
HIST000000208,ACCT00000124,CUST000008,2019-01-29 13:12:19,Debit,12577.023275268877,Mobile App,Travel,Completed
HIST000000209,ACCT00000474,CUST000350,2020-07-25 14:22:00,Debit,14588.816877707592,Online,Travel,Completed
HIST000000210,ACCT00000281,CUST000209,2021-11-01 03:44:10,Credit,5073.5774052227225,Online,Entertainment,Completed
HIST000000211,ACCT00000189,CUST000151,2021-01-20 07:01:18,Credit,1697.5991158894076,POS,E-commerce,Completed
HIST000000212,ACCT00000665,CUST000334,2021-09-17 04:33:41,Credit,16932.544771904555,Mobile App,Travel,Completed
HIST000000213,ACCT00000067,CUST000255,2017-11-04 06:37:20,Credit,11336.432054575573,POS,Entertainment,Completed
HIST000000214,ACCT00000341,CUST000380,2016-01-12 04:56:03,Credit,4221.226202841914,Branch,Education,Completed
HIST000000215,ACCT00000209,CUST000286,2017-09-01 06:22:51,Debit,5589.136775668058,Mobile App,E-commerce,Completed
HIST000000216,ACCT00000111,CUST000449,2021-09-13 00:18:36,Credit,11220.49038429576,POS,Dining,Completed
HIST000000217,ACCT00000691,CUST000097,2018-04-16 03:20:33,Credit,13230.685477255041,Mobile App,E-commerce,Completed
HIST000000218,ACCT00000594,CUST000117,2018-06-22 19:37:26,Credit,1853.197167405729,POS,Groceries,Completed
HIST000000219,ACCT00000043,CUST000111,2021-09-06 21:38:34,Debit,228.5299886168459,Online,Education,Completed
HIST000000220,ACCT00000323,CUST000038,2016-04-21 17:46:45,Debit,4605.50617817079,Mobile App,Healthcare,Completed
HIST000000221,ACCT00000279,CUST000464,2019-05-22 15:36:03,Credit,5483.6923919629735,Online,Utilities,Completed
HIST000000222,ACCT00000009,CUST000165,2019-10-19 03:25:56,Debit,15739.160738786726,Online,Salary,Completed
HIST000000223,ACCT00000334,CUST000107,2015-10-15 15:21:14,Credit,12093.086375902658,Branch,E-commerce,Completed
HIST000000224,ACCT00000492,CUST000158,2020-01-01 11:01:20,Credit,3123.088654486368,Online,Education,Completed
HIST000000225,ACCT00000657,CUST000325,2016-02-10 07:56:00,Debit,14164.017796627943,POS,Healthcare,Completed
HIST000000226,ACCT00000424,CUST000179,2015-05-21 00:57:00,Credit,9808.847044299357,ATM,Travel,Completed
HIST000000227,ACCT00000148,CUST000173,2018-08-27 20:33:27,Credit,119.19563543244476,Online,Groceries,Completed
HIST000000228,ACCT00000190,CUST000153,2020-04-06 15:07:45,Credit,3503.3821011621694,ATM,Fuel,Completed
HIST000000229,ACCT00000080,CUST000102,2016-11-16 15:02:10,Credit,3221.3253338825507,Online,Salary,Completed
HIST000000230,ACCT00000605,CUST000181,2019-10-05 12:10:16,Debit,11063.13611809042,ATM,Groceries,Completed
HIST000000231,ACCT00000635,CUST000454,2021-08-17 18:37:14,Debit,595.7286233402983,Branch,Salary,Completed
HIST000000232,ACCT00000319,CUST000276,2020-09-16 06:18:17,Debit,315.08976294040076,Mobile App,Salary,Completed
HIST000000233,ACCT00000171,CUST000040,2020-03-01 23:42:43,Credit,28625.087713207504,ATM,Utilities,Completed
HIST000000234,ACCT00000690,CUST000246,2020-09-03 10:42:05,Credit,16276.82578096525,Mobile App,Healthcare,Completed
HIST000000235,ACCT00000137,CUST000152,2019-09-27 12:19:41,Credit,4127.207973101669,ATM,Education,Completed
