cust_id,hybrid_score_0_100,lead_score_0_100,ml_proba,cltv_profit,cltv_decile,cltv_category_q,priority_flag,recommended_action,champion_model,nbp_1,nbp_1_score,nbp_2,nbp_2_score,nbp_3,nbp_3_score,acct_cnt,sa_cnt,ca_cnt,txn_cnt_12m,txn_months_12m,txn_amt_12m,avg_txn_amt_12m,std_txn_amt_12m,med_txn_amt_12m,debit_cnt_12m,credit_cnt_12m,recency_days,chrg_amt_12m,chrg_months_12m,avg_bal_12m_savings,avg_bal_12m_current_ac,avg_bal_12m_td
C00024,49.0,31,0.7516666680574418,3962,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.742,Personal Loan,0.49,FD,0.4,2,1.0,0.0,125,12,210136.66999999998,1681.0933599999998,1209.3145371448695,1371.58,125.0,0.0,-2,776.3000000000001,5.0,65.75,0.0,281.97
C00124,52.0,31,0.8342857241630555,3959,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.794,Personal Loan,0.772,Overdraft,0.549,2,0.0,1.0,86,12,328249.06,3816.849534883721,2726.6277042922266,3101.1800000000003,86.0,0.0,0,833.1600000000001,5.0,0.0,565.5,0.0
C00380,52.0,31,0.8459143757820129,3913,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.79,Personal Loan,0.57,FD,0.548,3,1.0,0.0,158,12,285169.7299999999,1804.871708860759,1902.5287028838914,1302.52,158.0,0.0,-4,1428.1899999999998,10.0,399.51,0.0,0.0
C00094,53.0,30,0.8632988810539246,3879,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.757,Personal Loan,0.5,FD,0.451,2,1.0,0.0,141,12,220448.44999999992,1563.4641843971626,1402.931084432139,1051.33,141.0,0.0,-1,797.6200000000001,5.0,138.72,0.0,0.0
C00335,48.0,30,0.7516666680574418,3876,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.808,Personal Loan,0.717,Overdraft,0.51,2,0.0,1.0,137,12,374714.5599999997,2735.1427737226254,1693.9932319859806,2592.06,137.0,0.0,-4,954.35,7.0,0.0,338.78,0.0
C00421,55.0,30,0.9333333373069763,3841,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.722,Personal Loan,0.525,FD,0.424,2,1.0,0.0,95,12,196941.58000000002,2073.069263157895,2586.997390825668,1177.6,95.0,0.0,0,975.4200000000001,7.0,63.92,0.0,0.0
C00196,55.0,30,0.9333333373069763,3819,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.83,Personal Loan,0.714,FD,0.442,3,1.0,0.0,165,12,402888.0599999998,2441.745818181817,2168.766946750425,1886.53,165.0,0.0,-2,1175.2,8.0,114.18,0.0,0.0
C00128,54.0,30,0.9116666674613952,3778,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.701,FD,0.427,Personal Loan,0.42,2,1.0,0.0,106,12,141530.24000000005,1335.1909433962269,945.240960836395,1122.35,106.0,0.0,0,1017.6899999999999,6.0,73.37,0.0,0.0
C00258,52.0,29,0.853333342075348,3739,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.726,Personal Loan,0.495,FD,0.427,2,1.0,0.0,110,12,192674.66999999993,1751.5879090909084,1254.1623306422541,1420.29,110.0,0.0,0,739.38,7.0,71.85,0.0,0.0
C00497,54.0,29,0.925,3704,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.75,Personal Loan,0.512,FD,0.447,2,1.0,0.0,131,12,221426.70999999996,1690.2802290076334,1274.506812021187,1349.39,131.0,0.0,-4,853.86,8.0,125.49,0.0,0.0
C00180,44.0,28,0.6894581377506256,3586,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.63,FD,0.461,Personal Loan,0.299,1,1.0,0.0,68,12,60298.079999999994,886.7364705882352,538.7812349882066,924.425,68.0,0.0,-5,474.07000000000005,3.0,277.38,0.0,495.73
C00472,45.0,28,0.7001724183559418,3585,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.782,Personal Loan,0.684,Overdraft,0.535,2,0.0,1.0,114,12,321640.93999999994,2821.4117543859643,1849.5648697465135,2444.045,114.0,0.0,-3,499.40999999999997,5.0,0.0,519.67,0.0
C00181,54.0,28,0.925,3553,1,Very High,1,Call + RM follow-up,xgb,Credit Card,0.697,Personal Loan,0.498,FD,0.435,2,1.0,0.0,74,12,156547.19,2115.5025675675674,2729.587121576609,883.995,74.0,0.0,-1,981.48,8.0,93.26,0.0,0.0
C00127,44.0,28,0.6894581377506256,3544,1,High,1,Call + RM follow-up,xgb,Credit Card,0.751,FD,0.635,Personal Loan,0.565,2,1.0,1.0,110,12,249670.69999999998,2269.7336363636364,1970.3846246190817,1636.73,110.0,0.0,-3,459.70000000000005,4.0,441.8,727.7,407.77
C00434,50.0,27,0.8450000047683716,3487,2,High,1,Call within 48h,xgb,Credit Card,0.86,Personal Loan,0.838,Overdraft,0.481,3,1.0,1.0,168,12,503293.4900000001,2995.794583333334,2662.833707525267,1984.42,168.0,0.0,-3,725.59,7.0,100.13,39.91,0.0
C00484,44.0,27,0.7001724183559418,3416,2,High,1,Call within 48h,xgb,Credit Card,0.719,Personal Loan,0.448,FD,0.419,2,1.0,0.0,117,12,167040.17000000004,1427.693760683761,1092.6699433172116,1205.39,117.0,0.0,0,514.94,6.0,50.28,0.0,0.0
C00314,53.0,26,0.9333333373069763,3367,2,High,1,Call within 48h,xgb,Credit Card,0.739,FD,0.483,Personal Loan,0.46,2,1.0,0.0,134,12,186671.13999999996,1393.0682089552236,1120.709170270144,1053.7350000000001,134.0,0.0,0,1019.6400000000001,6.0,223.46,0.0,0.0
C00021,46.0,26,0.754285728931427,3346,2,High,1,Call within 48h,xgb,Credit Card,0.72,Personal Loan,0.529,FD,0.522,2,1.0,0.0,89,12,194594.26999999996,2186.452471910112,2754.787385482227,1010.93,89.0,0.0,-1,621.35,6.0,347.17,0.0,83.19
C00095,53.0,26,0.9333333373069763,3324,2,High,1,Call within 48h,xgb,Credit Card,0.829,Personal Loan,0.694,Overdraft,0.475,3,1.0,1.0,166,12,399872.2799999998,2408.8691566265047,2182.7141841473585,1555.76,166.0,0.0,0,808.8399999999999,7.0,74.2,160.87,356.07
C00461,43.0,26,0.6894581377506256,3307,2,High,1,Call within 48h,xgb,Credit Card,0.75,Personal Loan,0.66,Overdraft,0.513,1,0.0,1.0,68,12,230016.0900000001,3382.589558823531,2068.364341500873,3164.185,68.0,0.0,-5,585.39,3.0,0.0,557.23,0.0
C00235,43.0,26,0.6894581377506256,3257,2,High,1,Call within 48h,xgb,Credit Card,0.783,Personal Loan,0.681,Overdraft,0.497,2,0.0,1.0,90,12,313042.4899999998,3478.2498888888867,2151.6515660272767,3179.3050000000003,90.0,0.0,-7,585.9599999999999,7.0,0.0,374.44,1213.91
C00068,46.0,26,0.7616796612739563,3255,2,High,1,Call within 48h,xgb,Credit Card,0.826,Personal Loan,0.718,Overdraft,0.567,3,1.0,1.0,157,12,406556.56999999995,2589.53229299363,2561.6498058417474,1563.33,157.0,0.0,0,641.55,4.0,27.18,529.67,273.02
C00213,43.0,25,0.6894581377506256,3139,2,High,1,Call within 48h,xgb,Credit Card,0.613,FD,0.354,Personal Loan,0.273,1,1.0,0.0,54,12,48682.67999999999,901.5311111111109,501.02011247117514,865.51,54.0,0.0,-4,653.42,3.0,89.35,0.0,935.21
C00401,42.0,24,0.6972338020801544,3117,2,High,1,Call within 48h,xgb,Credit Card,0.696,Personal Loan,0.445,FD,0.408,2,1.0,0.0,85,12,153461.34000000003,1805.427529411765,2364.2430151781823,888.94,85.0,0.0,-3,756.1400000000001,5.0,153.7,0.0,578.8
C00150,40.0,24,0.6453968346118927,3094,2,High,1,Call within 48h,xgb,Credit Card,0.699,Personal Loan,0.44,FD,0.419,2,1.0,0.0,98,12,147889.05,1509.07193877551,1270.3942933582598,1209.835,98.0,0.0,0,450.85,3.0,51.64,0.0,0.0
C00167,48.0,24,0.8342857241630555,3090,2,High,1,Call within 48h,xgb,Credit Card,0.728,Personal Loan,0.453,FD,0.439,2,1.0,0.0,125,12,175750.49999999997,1406.0039999999997,1131.8213016702398,1056.9,125.0,0.0,0,513.01,6.0,104.66,0.0,0.0
C00408,45.0,24,0.7690827488899231,3076,2,High,1,Call within 48h,xgb,Credit Card,0.692,FD,0.491,Personal Loan,0.406,2,1.0,0.0,102,12,129916.93000000007,1273.6953921568634,988.5588478360775,1079.02,102.0,0.0,-4,585.75,4.0,244.15,0.0,0.0
C00431,45.0,24,0.7676190614700318,3075,2,High,1,Call within 48h,xgb,Credit Card,0.743,Personal Loan,0.481,FD,0.464,2,1.0,0.0,132,12,200501.12999999998,1518.9479545454544,1099.8098214675795,1301.52,132.0,0.0,0,533.66,4.0,173.33,0.0,0.0
C00202,51.0,24,0.9200000047683716,3072,2,High,1,Call within 48h,xgb,Credit Card,0.772,Personal Loan,0.609,FD,0.45,2,1.0,1.0,127,12,286472.18999999994,2255.6865354330703,2015.26895967136,1390.0,127.0,0.0,0,837.84,5.0,63.78,180.44,0.0
C00252,52.0,24,0.9333333373069763,3064,2,High,1,Call within 48h,xgb,Credit Card,0.738,Personal Loan,0.468,FD,0.421,2,1.0,0.0,131,12,190150.56000000006,1451.5309923664126,1189.1559787214658,1039.98,131.0,0.0,-1,1140.19,8.0,57.57,0.0,0.0
C00008,51.0,24,0.9200000047683716,3050,2,High,1,Call within 48h,xgb,Credit Card,0.728,Personal Loan,0.475,FD,0.418,2,1.0,0.0,118,12,186177.83,1577.778220338983,1278.3898668250931,1096.6100000000001,118.0,0.0,0,758.6600000000001,5.0,49.3,0.0,0.0
C00276,48.0,24,0.844155216217041,3036,2,High,1,Call within 48h,xgb,Credit Card,0.804,Personal Loan,0.631,FD,0.475,3,1.0,0.0,158,12,332005.38999999984,2101.2999367088596,2128.5618552148753,1391.62,158.0,0.0,-1,722.2,10.0,202.28,0.0,0.0
C00159,51.0,24,0.9200000047683716,3020,2,High,1,Call within 48h,xgb,Credit Card,0.772,Personal Loan,0.589,FD,0.455,2,1.0,1.0,132,12,281465.7899999999,2132.3165909090903,1926.6068205577358,1331.105,132.0,0.0,-1,790.15,5.0,121.31,153.76,140.07
C00424,48.0,24,0.8342857241630555,3010,2,High,1,Call within 48h,xgb,Credit Card,0.604,FD,0.425,Personal Loan,0.294,1,1.0,0.0,53,12,39923.23,753.2684905660378,509.64534251921106,602.6,53.0,0.0,-2,608.97,3.0,66.26,0.0,0.0
C00215,45.0,23,0.7676190614700318,2923,2,High,1,Call within 48h,xgb,Credit Card,0.781,Personal Loan,0.617,FD,0.518,2,1.0,1.0,136,12,300894.19999999995,2212.457352941176,1860.5290141475327,1540.06,136.0,0.0,-2,528.25,4.0,226.29,234.77,0.0
C00106,48.0,23,0.8450000047683716,2911,2,High,1,Call within 48h,xgb,Credit Card,0.838,Personal Loan,0.745,Overdraft,0.464,3,1.0,1.0,160,12,440358.92999999993,2752.2433125,2645.10899705861,1727.475,160.0,0.0,-2,715.8199999999999,5.0,74.1,56.72,556.73
C00077,50.0,23,0.9116666674613952,2892,2,High,1,Call within 48h,xgb,Credit Card,0.774,Overdraft,0.702,FD,0.634,2,1.0,1.0,138,12,278163.75,2015.679347826087,1902.3704184621135,1159.8,138.0,0.0,0,663.9300000000001,5.0,133.14,1269.16,0.0
C00009,48.0,23,0.8480592608451843,2879,2,High,1,Call within 48h,xgb,Credit Card,0.817,Personal Loan,0.737,Overdraft,0.482,2,0.0,1.0,143,12,396289.8200000002,2771.257482517484,1817.0096014592284,2457.27,143.0,0.0,0,927.49,6.0,0.0,192.8,0.0
C00043,50.0,23,0.9116666674613952,2872,2,High,1,Call within 48h,xgb,Credit Card,0.74,FD,0.501,Personal Loan,0.468,2,1.0,0.0,133,12,191775.18999999994,1441.9187218045108,1071.7595682917267,1148.83,133.0,0.0,0,937.3,7.0,273.19,0.0,0.0
C00183,50.0,22,0.9116666674613952,2860,2,High,1,Call within 48h,xgb,Credit Card,0.67,FD,0.449,Personal Loan,0.435,2,1.0,0.0,67,12,116321.91999999998,1736.1480597014922,2193.5277258999104,917.91,67.0,0.0,-6,658.75,5.0,131.67,0.0,0.0
C00039,50.0,22,0.9116666674613952,2843,2,High,1,Call within 48h,xgb,Credit Card,0.722,Personal Loan,0.521,FD,0.436,2,1.0,0.0,97,12,196680.33000000002,2027.6322680412372,2792.577041389706,989.42,97.0,0.0,-4,602.99,4.0,96.27,0.0,0.0
C00097,34.0,22,0.5319047719240189,2809,2,High,1,Call within 48h,xgb,Credit Card,0.615,FD,0.513,Personal Loan,0.285,1,1.0,0.0,58,12,49306.19000000001,850.1067241379312,488.2132360639435,838.5699999999999,58.0,0.0,-3,347.57,2.0,434.71,0.0,574.66
C00287,49.0,22,0.9057539939880371,2802,2,High,1,Call within 48h,xgb,Credit Card,0.737,Personal Loan,0.431,FD,0.331,2,1.0,0.0,126,12,196783.30000000008,1561.7722222222228,1220.6321277160546,1243.78,126.0,0.0,0,922.0,7.0,89.72,0.0,1201.34
C00460,50.0,22,0.9116666674613952,2799,2,High,1,Call within 48h,xgb,Credit Card,0.736,FD,0.47,Personal Loan,0.469,2,1.0,0.0,128,12,189254.72000000006,1478.5525000000005,1173.513673118831,1186.06,128.0,0.0,-3,965.6300000000001,6.0,188.19,0.0,0.0
C00435,48.0,22,0.8583333373069764,2797,2,High,1,Call within 48h,xgb,Credit Card,0.695,Personal Loan,0.479,FD,0.457,2,1.0,0.0,80,12,153559.1,1919.48875,2602.6058192362643,886.2049999999999,80.0,0.0,-1,613.85,4.0,154.68,0.0,0.0
C00086,47.0,22,0.8450000047683716,2789,2,High,1,Call within 48h,xgb,Credit Card,0.772,Personal Loan,0.675,Overdraft,0.44,2,0.0,1.0,102,12,298464.60000000015,2926.1235294117664,1964.684165208516,2564.71,102.0,0.0,-6,659.41,6.0,0.0,159.3,0.0
C00118,51.0,22,0.9333333373069763,2783,2,High,1,Call within 48h,xgb,Credit Card,0.727,Personal Loan,0.545,FD,0.389,2,1.0,0.0,87,12,208225.16,2393.3926436781608,2925.164906842744,994.0,87.0,0.0,-17,1714.1599999999999,11.0,51.58,0.0,359.87
C00253,39.0,22,0.6492857247591018,2753,2,High,1,Call within 48h,xgb,Credit Card,0.797,Personal Loan,0.735,Overdraft,0.452,2,0.0,1.0,97,12,347735.31000000023,3584.9001030927857,2787.2485929689306,2983.6,97.0,0.0,-2,373.46,3.0,0.0,137.7,779.67
C00404,48.0,22,0.8784613966941833,2749,2,High,1,Call within 48h,xgb,Credit Card,0.712,Personal Loan,0.449,FD,0.427,2,1.0,0.0,109,12,161975.84,1486.0168807339448,1124.9080257857604,1149.81,109.0,0.0,-1,845.72,5.0,74.08,0.0,0.0
C00296,39.0,22,0.6492857247591018,2749,2,High,1,Call within 48h,xgb,Credit Card,0.617,FD,0.446,Personal Loan,0.293,1,1.0,0.0,65,12,45379.33,698.1435384615385,508.9991169823836,630.65,65.0,0.0,-2,433.63000000000005,3.0,123.33,0.0,0.0
C00189,47.0,22,0.8342857241630555,2748,2,High,1,Call within 48h,xgb,Credit Card,0.617,FD,0.396,Personal Loan,0.291,1,1.0,0.0,55,12,52678.48999999999,957.790727272727,474.1753107075973,924.58,55.0,0.0,-7,424.52000000000004,4.0,151.85,0.0,706.09
C00442,40.0,22,0.660000005364418,2746,2,High,1,Call within 48h,xgb,Credit Card,0.734,Personal Loan,0.547,FD,0.388,2,1.0,0.0,97,12,221052.93999999997,2278.8962886597938,2911.6898239819143,1045.52,97.0,0.0,-2,391.26,2.0,39.35,0.0,315.53
C00340,46.0,21,0.8450000047683716,2724,2,High,1,Call within 48h,xgb,Credit Card,0.789,Personal Loan,0.588,FD,0.465,2,1.0,1.0,151,12,298935.61999999994,1979.7060927152313,1867.7476061495297,1291.07,151.0,0.0,0,622.12,5.0,130.91,221.65,182.45
C00345,50.0,21,0.9333333373069763,2652,2,High,1,Call within 48h,xgb,Credit Card,0.628,FD,0.427,Personal Loan,0.303,1,1.0,0.0,67,12,57723.43999999997,861.5438805970145,510.64110441191076,849.44,67.0,0.0,-20,627.76,4.0,148.6,0.0,326.97
C00217,45.0,20,0.8342857241630555,2596,2,High,1,Call within 48h,xgb,Credit Card,0.755,Personal Loan,0.52,FD,0.458,2,1.0,0.0,134,12,229992.19000000006,1716.359626865672,1355.2847139306728,1176.615,134.0,0.0,0,511.13,6.0,156.06,0.0,0.0
C00487,46.0,20,0.8450000047683716,2569,2,High,1,Call within 48h,xgb,Credit Card,0.719,Personal Loan,0.457,FD,0.451,2,1.0,0.0,114,12,170686.78,1497.252456140351,1201.871341475938,1159.235,114.0,0.0,-2,589.78,4.0,136.39,0.0,0.0
C00365,37.0,20,0.6187500596046448,2544,2,High,1,Call within 48h,xgb,Credit Card,0.62,FD,0.474,Personal Loan,0.306,1,1.0,0.0,63,12,50699.38,804.7520634920635,543.4100418063655,711.42,63.0,0.0,-8,349.13,2.0,199.97,0.0,0.0
